Phenotype,Method,h2model,clumpprune,numberofpca,n_folds,mean_h2,std_h2,median_h2,min_h2,max_h2,CV,fold_SE,CI_lower_fold,CI_upper_fold,SNR_fold,significant_fold,tool_SE_mean,tool_SE_std,tool_SE_min,tool_SE_max,n_folds_with_tool_SE,CI_lower_tool,CI_upper_tool,SNR_tool,significant_tool,mean_variants
depression,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,yes,6,5,0.3934,0.3221,0.3716,0.1082,0.9305,0.8187,0.144,0.1111,0.6757,2.7312,Yes,1.1899,0.0255,1.1503,1.2093,5,-1.9388,2.7255,0.3306,No,168683.8
depression,Gemma2-Heritability,HE regression_genotype,no,6,3,0.0818,0.0004,0.0817,0.0815,0.0822,0.0044,0.0002,0.0814,0.0822,393.4499,Yes,0.0089,0.0001,0.0088,0.0089,3,0.0644,0.0992,9.2159,Yes,531188.0
depression,Gemma2-Heritability,HE regression_genotype,yes,6,3,0.109,0.0814,0.1555,0.0151,0.1564,0.7464,0.047,0.0169,0.2011,2.3205,Yes,0.0024,0.0014,0.0008,0.0032,3,0.1042,0.1137,44.9252,Yes,117694.6667
depression,Gemma2-Heritability,HE regression_genotype_covariate,no,6,3,0.0808,0.0005,0.0809,0.0803,0.0812,0.0058,0.0003,0.0802,0.0813,299.8897,Yes,0.2016,0.0037,0.198,0.2053,3,-0.3145,0.476,0.4006,No,531188.0
depression,Gemma2-Heritability,HE regression_genotype_covariate,yes,6,3,0.0709,0.0772,0.0596,0.0,0.1532,1.0886,0.0446,-0.0165,0.1583,1.591,No,0.2724,0.287,0.0694,0.4753,2,-0.4629,0.6048,0.2604,No,77198.3333
depression,Gemma2-Heritability,HE regression_genotype_covariate_pca,no,6,3,0.0817,0.0005,0.0817,0.0812,0.0821,0.0056,0.0003,0.0812,0.0822,310.771,Yes,0.2077,0.004,0.2045,0.2121,3,-0.3254,0.4888,0.3933,No,531188.0
depression,Gemma2-Heritability,HE regression_genotype_covariate_pca,yes,6,3,0.0573,0.0848,0.0166,0.0005,0.1547,1.4801,0.0489,-0.0387,0.1532,1.1702,No,0.1675,0.2854,0.0001,0.4971,3,-0.2711,0.3856,0.3419,No,62182.0
depression,LDAK-Calculated-Heritability,LDAK_BLD-LDAK_yes,yes,6,4,0.1566,0.0004,0.1567,0.156,0.157,0.0027,0.0002,0.1562,0.157,746.9286,Yes,0.0022,0.0,0.0022,0.0022,4,0.1523,0.1609,71.189,Yes,173904.0
depression,LDAK-Calculated-Heritability,LDAK_GCTA_yes,yes,6,4,0.1566,0.0004,0.1567,0.156,0.157,0.0027,0.0002,0.1562,0.157,746.9286,Yes,0.0022,0.0,0.0022,0.0022,4,0.1523,0.1609,71.189,Yes,173904.0
depression,LDAK-Calculated-Heritability,LDAK_alpha_-0.5_yes,yes,6,4,0.1555,0.0004,0.1556,0.155,0.156,0.0028,0.0002,0.1551,0.156,707.4462,Yes,0.0021,0.0,0.0021,0.0022,4,0.1513,0.1597,72.4054,Yes,173904.0
depression,LDAK-Calculated-Heritability,LDAK_alpha_0.0_yes,yes,6,4,0.143,0.0005,0.143,0.1425,0.1435,0.0032,0.0002,0.1426,0.1435,622.0191,Yes,0.0021,0.0,0.0021,0.0021,4,0.1389,0.1472,67.9086,Yes,173904.0
depression,LDAK-Calculated-Heritability,LDAK_alpha_0.5_yes,yes,6,4,0.1304,0.0005,0.1303,0.1299,0.1309,0.0035,0.0002,0.1299,0.1308,576.7758,Yes,0.0021,0.0,0.0021,0.0021,4,0.1263,0.1344,63.0163,Yes,173904.0
depression,LDAK-Calculated-Heritability,LDAK_alpha_1.0_yes,yes,6,4,0.1211,0.0004,0.1211,0.1207,0.1216,0.0035,0.0002,0.1207,0.1216,568.9428,Yes,0.002,0.0,0.002,0.002,4,0.1171,0.1251,59.2059,Yes,173904.0
depression,LDAK-Calculated-Heritability,LDAK_human_yes,yes,6,4,0.1498,0.0005,0.1499,0.1493,0.1503,0.003,0.0002,0.1494,0.1503,662.1787,Yes,0.0021,0.0,0.0021,0.0021,4,0.1457,0.154,70.445,Yes,173904.0
depression,LDpred-2-Heritability,LDpred-2_full,yes,6,5,0.2575,0.0189,0.2514,0.2441,0.2903,0.0734,0.0085,0.2409,0.2741,30.4509,Yes,,,,,0,,,,NA,173903.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_centered_genotype,no,6,5,0.6473,0.3764,0.5206,0.3153,1.2313,0.5816,0.1683,0.3173,0.9773,3.845,Yes,0.5986,0.0489,0.5269,0.6384,5,-0.5259,1.8205,1.0814,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_centered_genotype,yes,6,5,-0.0976,0.2312,-0.1666,-0.3307,0.224,2.3679,0.1034,-0.3003,0.105,-0.9443,No,0.3439,0.0067,0.3331,0.3513,5,-0.7716,0.5763,-0.284,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate,no,6,5,0.2707,0.5375,0.3997,-0.3697,1.015,1.9857,0.2404,-0.2005,0.7419,1.1261,No,0.6075,0.1246,0.4493,0.7513,5,-0.9199,1.4613,0.4456,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate,yes,6,5,-0.3654,0.2695,-0.4515,-0.5965,0.0264,0.7374,0.1205,-0.6016,-0.1292,-3.0322,No,0.355,0.0104,0.3422,0.3704,5,-1.0612,0.3304,-1.0294,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate_pca,no,6,5,0.2292,0.5037,0.2361,-0.3355,0.988,2.1975,0.2253,-0.2123,0.6707,1.0176,No,0.6075,0.1306,0.4693,0.8129,5,-0.9616,1.42,0.3773,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate_pca,yes,6,5,-0.3839,0.2492,-0.4887,-0.6069,-0.0047,0.6491,0.1115,-0.6024,-0.1655,-3.4447,No,0.3577,0.0109,0.3451,0.3744,5,-1.085,0.3171,-1.0734,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_standardized_genotype,no,6,5,0.5285,0.7563,0.1707,-0.0843,1.7811,1.431,0.3382,-0.1344,1.1914,1.5626,No,0.8159,0.0458,0.7717,0.8809,5,-1.0706,2.1276,0.6478,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_standardized_genotype,yes,6,5,-0.0866,0.2574,-0.1462,-0.3556,0.3215,2.9705,0.1151,-0.3122,0.1389,-0.7528,No,0.3804,0.0074,0.3732,0.3923,5,-0.8323,0.659,-0.2277,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate,no,6,5,0.2607,1.0494,0.3185,-0.8694,1.8804,4.0247,0.4693,-0.6591,1.1806,0.5556,No,0.8539,0.2198,0.5882,1.1627,5,-1.4129,1.9344,0.3054,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate,yes,6,5,-0.1918,0.1698,-0.217,-0.3715,0.0033,0.8854,0.0759,-0.3406,-0.0429,-2.5255,No,0.4039,0.0095,0.3911,0.4152,5,-0.9834,0.5998,-0.4749,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate_pca,no,6,5,0.2115,0.9909,0.1207,-0.8151,1.8068,4.686,0.4431,-0.6571,1.08,0.4772,No,0.8578,0.2315,0.6101,1.229,5,-1.4699,1.8928,0.2465,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate_pca,yes,6,5,-0.1809,0.189,-0.1367,-0.4085,0.0436,1.0451,0.0845,-0.3466,-0.0152,-2.1397,No,0.4128,0.0117,0.4009,0.4303,5,-0.9899,0.6281,-0.4382,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype,no,6,5,0.5749,0.2697,0.4482,0.2839,0.9451,0.4692,0.1206,0.3385,0.8113,4.766,Yes,0.5513,0.0298,0.5215,0.5915,5,-0.5057,1.6555,1.0428,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype,yes,6,5,0.0818,0.1195,0.0404,0.0106,0.2928,1.4602,0.0534,-0.0229,0.1865,1.5313,No,0.3599,0.0095,0.3496,0.3753,5,-0.6236,0.7873,0.2273,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate,no,6,5,0.203,0.2565,0.0739,0.002,0.5982,1.2633,0.1147,-0.0218,0.4279,1.77,No,0.6979,0.0531,0.6346,0.7678,5,-1.1648,1.5708,0.2909,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate,yes,6,5,0.0166,0.0145,0.0103,0.0038,0.035,0.8744,0.0065,0.0039,0.0293,2.5572,Yes,0.4721,0.0084,0.4597,0.4814,5,-0.9087,0.9418,0.0351,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate_pca,no,6,5,0.1692,0.2141,0.0765,0.0049,0.5227,1.266,0.0958,-0.0186,0.3569,1.7663,No,0.7104,0.0616,0.6219,0.7836,5,-1.2232,1.5615,0.2381,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate_pca,yes,6,5,0.0301,0.0328,0.0136,0.0084,0.0863,1.09,0.0147,0.0013,0.0589,2.0515,Yes,0.4852,0.0111,0.4725,0.5008,5,-0.9209,0.9811,0.0621,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype,no,6,5,0.5425,0.4288,0.5939,0.0831,0.9837,0.7905,0.1918,0.1666,0.9184,2.8288,Yes,0.7362,0.0425,0.6756,0.7836,5,-0.9004,1.9854,0.7369,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype,yes,6,5,0.6776,0.4509,0.9809,0.0231,0.9995,0.6654,0.2016,0.2824,1.0728,3.3604,Yes,0.381,0.0188,0.358,0.4031,5,-0.0693,1.4244,1.7783,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate,no,6,5,0.3174,0.2456,0.2555,0.0789,0.6363,0.7738,0.1098,0.1021,0.5326,2.8899,Yes,1.0055,0.0644,0.9297,1.0829,5,-1.6535,2.2882,0.3156,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate,yes,6,5,0.405,0.5311,0.0265,0.0036,0.9998,1.3113,0.2375,-0.0605,0.8705,1.7052,No,0.51,0.0164,0.4939,0.5361,5,-0.5946,1.4046,0.7942,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,no,6,5,0.37,0.3111,0.3687,0.1111,0.8778,0.8409,0.1391,0.0973,0.6427,2.6591,Yes,1.0369,0.047,0.9617,1.0834,5,-1.6622,2.4022,0.3569,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,yes,6,5,0.4215,0.5266,0.0495,0.0272,0.9991,1.2494,0.2355,-0.0401,0.8831,1.7897,No,0.5209,0.0179,0.4988,0.5471,5,-0.5994,1.4425,0.8092,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,GCTA-Heritability,GCTA_genotype,no,6,5,0.3583,0.4217,0.1235,0.0,1.0,1.1771,0.1886,-0.0114,0.7279,1.8996,No,0.724,0.0419,0.6722,0.7835,5,-1.0608,1.7773,0.4949,No,619653.0
gastro_oesophageal_reflux_gord_gastric_reflux,GCTA-Heritability,GCTA_genotype,yes,6,5,0.0777,0.1737,0.0,0.0,0.3884,2.236,0.0777,-0.0746,0.2299,1.0,No,0.3955,0.0106,0.3791,0.4066,5,-0.6974,0.8528,0.1964,No,28778.8
gastro_oesophageal_reflux_gord_gastric_reflux,GCTA-Heritability,GCTA_genotype_covariate,no,6,5,0.3497,0.4277,0.1969,0.0,1.0,1.2229,0.1913,-0.0252,0.7246,1.8285,No,1.0062,0.0535,0.9173,1.0465,5,-1.6224,2.3218,0.3475,No,619653.0
gastro_oesophageal_reflux_gord_gastric_reflux,GCTA-Heritability,GCTA_genotype_covariate,yes,6,5,0.0038,0.0086,0.0,0.0,0.0192,2.2355,0.0038,-0.0037,0.0114,1.0003,No,0.5205,0.0117,0.5106,0.5405,5,-1.0164,1.0241,0.0074,No,28778.8
gastro_oesophageal_reflux_gord_gastric_reflux,GCTA-Heritability,GCTA_genotype_covariate_pca,no,6,5,0.2936,0.4332,0.044,0.0,1.0,1.4757,0.1937,-0.0862,0.6733,1.5153,No,1.0265,0.0456,0.9488,1.0617,5,-1.7184,2.3055,0.286,No,619653.0
gastro_oesophageal_reflux_gord_gastric_reflux,GCTA-Heritability,GCTA_genotype_covariate_pca,yes,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Yes,0.5335,0.0115,0.523,0.552,5,-1.0457,1.0457,0.0,No,28778.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_centered_genotype,no,6,5,0.6473,0.3764,0.5206,0.3153,1.2313,0.5816,0.1683,0.3173,0.9773,3.845,Yes,0.5986,0.0489,0.5269,0.6384,5,-0.5259,1.8205,1.0814,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_centered_genotype,yes,6,5,-0.0976,0.2312,-0.1666,-0.3307,0.224,2.3679,0.1034,-0.3003,0.105,-0.9443,No,0.3439,0.0067,0.3331,0.3513,5,-0.7716,0.5763,-0.284,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_centered_genotype_covariate,no,6,5,0.2707,0.5375,0.3997,-0.3697,1.015,1.9857,0.2404,-0.2005,0.7419,1.1261,No,0.6075,0.1246,0.4493,0.7513,5,-0.9199,1.4613,0.4456,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_centered_genotype_covariate,yes,6,5,-0.3654,0.2695,-0.4515,-0.5965,0.0264,0.7374,0.1205,-0.6016,-0.1292,-3.0322,No,0.355,0.0104,0.3422,0.3704,5,-1.0612,0.3304,-1.0294,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_centered_genotype_covariate_pca,no,6,5,0.2292,0.5037,0.2361,-0.3355,0.988,2.1975,0.2253,-0.2123,0.6707,1.0176,No,0.6075,0.1306,0.4693,0.8129,5,-0.9616,1.42,0.3773,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_centered_genotype_covariate_pca,yes,6,5,-0.3839,0.2492,-0.4887,-0.6069,-0.0047,0.6491,0.1115,-0.6024,-0.1655,-3.4447,No,0.3577,0.0109,0.3451,0.3744,5,-1.085,0.3171,-1.0734,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_standardized_genotype,no,6,5,0.5285,0.7563,0.1707,-0.0843,1.7811,1.431,0.3382,-0.1344,1.1914,1.5626,No,0.8159,0.0458,0.7717,0.8809,5,-1.0706,2.1276,0.6478,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_standardized_genotype,yes,6,5,-0.0866,0.2574,-0.1462,-0.3556,0.3215,2.9705,0.1151,-0.3122,0.1389,-0.7528,No,0.3804,0.0074,0.3732,0.3923,5,-0.8323,0.659,-0.2277,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_standardized_genotype_covariate,no,6,5,0.2607,1.0494,0.3185,-0.8694,1.8804,4.0247,0.4693,-0.6591,1.1806,0.5556,No,0.8539,0.2198,0.5882,1.1627,5,-1.4129,1.9344,0.3054,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_standardized_genotype_covariate,yes,6,5,-0.1918,0.1698,-0.217,-0.3715,0.0033,0.8854,0.0759,-0.3406,-0.0429,-2.5255,No,0.4039,0.0095,0.3911,0.4152,5,-0.9834,0.5998,-0.4749,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_standardized_genotype_covariate_pca,no,6,5,0.2115,0.9909,0.1207,-0.8151,1.8068,4.686,0.4431,-0.6571,1.08,0.4772,No,0.8578,0.2315,0.6101,1.229,5,-1.4699,1.8928,0.2465,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,HE regression_standardized_genotype_covariate_pca,yes,6,5,-0.1809,0.189,-0.1367,-0.4085,0.0436,1.0451,0.0845,-0.3466,-0.0152,-2.1397,No,0.4128,0.0117,0.4009,0.4303,5,-0.9899,0.6281,-0.4382,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_centered_genotype,no,6,5,0.5749,0.2697,0.4482,0.2839,0.9451,0.4692,0.1206,0.3385,0.8113,4.766,Yes,0.5513,0.0298,0.5215,0.5915,5,-0.5057,1.6555,1.0428,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_centered_genotype,yes,6,5,0.0818,0.1195,0.0404,0.0106,0.2928,1.4602,0.0534,-0.0229,0.1865,1.5313,No,0.3599,0.0095,0.3496,0.3753,5,-0.6236,0.7873,0.2273,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate,no,6,5,0.203,0.2565,0.0739,0.002,0.5982,1.2633,0.1147,-0.0218,0.4279,1.77,No,0.6979,0.0531,0.6346,0.7678,5,-1.1648,1.5708,0.2909,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate,yes,6,5,0.0166,0.0145,0.0103,0.0038,0.035,0.8744,0.0065,0.0039,0.0293,2.5572,Yes,0.4721,0.0084,0.4597,0.4814,5,-0.9087,0.9418,0.0351,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate_pca,no,6,5,0.1692,0.2141,0.0765,0.0049,0.5227,1.266,0.0958,-0.0186,0.3569,1.7663,No,0.7104,0.0616,0.6219,0.7836,5,-1.2232,1.5615,0.2381,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate_pca,yes,6,5,0.0301,0.0328,0.0136,0.0084,0.0863,1.09,0.0147,0.0013,0.0589,2.0515,Yes,0.4852,0.0111,0.4725,0.5008,5,-0.9209,0.9811,0.0621,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_standardized_genotype,no,6,5,0.5425,0.4288,0.5939,0.0831,0.9837,0.7905,0.1918,0.1666,0.9184,2.8288,Yes,0.7362,0.0425,0.6756,0.7836,5,-0.9004,1.9854,0.7369,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_standardized_genotype,yes,6,5,0.6776,0.4509,0.9809,0.0231,0.9995,0.6654,0.2016,0.2824,1.0728,3.3604,Yes,0.381,0.0188,0.358,0.4031,5,-0.0693,1.4244,1.7783,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate,no,6,5,0.31,0.2549,0.2555,0.0421,0.6363,0.8222,0.114,0.0866,0.5334,2.7195,Yes,1.0045,0.0654,0.9297,1.0829,5,-1.6589,2.2788,0.3086,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate,yes,6,5,0.405,0.5311,0.0265,0.0036,0.9998,1.3113,0.2375,-0.0605,0.8705,1.7052,No,0.51,0.0164,0.4939,0.5361,5,-0.5946,1.4046,0.7942,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,no,6,5,0.3712,0.3136,0.3687,0.1111,0.8838,0.8448,0.1402,0.0963,0.646,2.647,Yes,1.0369,0.047,0.9617,1.0834,5,-1.6612,2.4036,0.358,No,598445.4
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,yes,6,5,0.4215,0.5266,0.0495,0.0272,0.9991,1.2494,0.2355,-0.0401,0.8831,1.7897,No,0.5209,0.0179,0.4988,0.5471,5,-0.5994,1.4425,0.8092,No,27949.8
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma2-Heritability,HE regression_genotype,no,6,5,0.0094,0.0,0.0094,0.0094,0.0095,0.0038,0.0,0.0094,0.0095,588.0165,Yes,0.0008,0.0,0.0008,0.0009,5,0.0078,0.0111,11.1985,Yes,83369.2
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma2-Heritability,HE regression_genotype,yes,6,5,0.017,0.0033,0.0185,0.0111,0.0187,0.1948,0.0015,0.0141,0.0199,11.4814,Yes,0.0009,0.0001,0.0008,0.001,5,0.0152,0.0189,17.9447,Yes,25567.2
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma2-Heritability,HE regression_genotype_covariate,no,6,5,0.0094,0.0,0.0094,0.0093,0.0094,0.0049,0.0,0.0094,0.0094,458.6213,Yes,0.0057,0.0001,0.0055,0.0058,5,-0.0018,0.0206,1.643,No,83369.2
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma2-Heritability,HE regression_genotype_covariate,yes,6,5,0.0184,0.0002,0.0184,0.018,0.0185,0.0119,0.0001,0.0182,0.0185,188.587,Yes,0.0113,0.0002,0.0111,0.0115,5,-0.0038,0.0405,1.6255,No,27866.0
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma2-Heritability,HE regression_genotype_covariate_pca,no,6,5,0.0095,0.0,0.0095,0.0095,0.0096,0.0046,0.0,0.0095,0.0096,486.0433,Yes,0.0059,0.0001,0.0057,0.006,5,-0.002,0.021,1.6181,No,83369.2
gastro_oesophageal_reflux_gord_gastric_reflux,Gemma2-Heritability,HE regression_genotype_covariate_pca,yes,6,5,0.0187,0.0002,0.0187,0.0183,0.0189,0.0116,0.0001,0.0185,0.0189,192.6538,Yes,0.0117,0.0002,0.0115,0.0119,5,-0.0043,0.0417,1.5929,No,27866.0
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Calculated-Heritability,LDAK_BLD-LDAK_yes,yes,6,5,0.0189,0.0003,0.019,0.0184,0.0192,0.0162,0.0001,0.0187,0.0192,137.8345,Yes,0.0011,0.0,0.0011,0.0011,5,0.0168,0.021,17.4952,Yes,10576.4
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Calculated-Heritability,LDAK_GCTA_yes,yes,6,5,0.0189,0.0003,0.019,0.0184,0.0192,0.0162,0.0001,0.0187,0.0192,137.8345,Yes,0.0011,0.0,0.0011,0.0011,5,0.0168,0.021,17.4952,Yes,10576.4
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Calculated-Heritability,LDAK_alpha_-0.5_yes,yes,6,5,0.0183,0.0003,0.0184,0.0178,0.0186,0.0174,0.0001,0.018,0.0186,128.3882,Yes,0.0011,0.0,0.0011,0.0011,5,0.0162,0.0204,17.1129,Yes,10576.4
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Calculated-Heritability,LDAK_alpha_0.0_yes,yes,6,5,0.0171,0.0003,0.0172,0.0166,0.0174,0.0184,0.0001,0.0168,0.0173,121.6036,Yes,0.001,0.0,0.001,0.001,5,0.015,0.0191,16.3932,Yes,10576.4
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Calculated-Heritability,LDAK_alpha_0.5_yes,yes,6,5,0.016,0.0003,0.016,0.0155,0.0162,0.0192,0.0001,0.0157,0.0162,116.4008,Yes,0.001,0.0,0.001,0.001,5,0.014,0.0179,15.7659,Yes,10576.4
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Calculated-Heritability,LDAK_alpha_1.0_yes,yes,6,5,0.0151,0.0003,0.0151,0.0146,0.0154,0.0199,0.0001,0.0148,0.0153,112.53,Yes,0.001,0.0,0.001,0.001,5,0.0131,0.017,15.2434,Yes,10576.4
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Calculated-Heritability,LDAK_human_yes,yes,6,5,0.0177,0.0003,0.0178,0.0172,0.018,0.0179,0.0001,0.0174,0.018,124.7684,Yes,0.0011,0.0,0.001,0.0011,5,0.0156,0.0197,16.7463,Yes,10576.4
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Precomputed-Heritability,LDAK_bld.ldak.genotyped.gbr.tagging,no,-,5,0.0237,0.0,0.0237,0.0237,0.0237,0.0,0.0,0.0237,0.0237,,Yes,0.0041,0.0,0.0041,0.0041,5,0.0157,0.0317,5.8,Yes,83996.0
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Precomputed-Heritability,LDAK_bld.ldak.hapmap.gbr.tagging,no,-,5,0.0218,0.0,0.0218,0.0218,0.0218,0.0,0.0,0.0218,0.0218,,Yes,0.008,0.0,0.008,0.008,5,0.0062,0.0375,2.7368,Yes,42535.0
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Precomputed-Heritability,LDAK_bld.ldak.lite.alpha.genotyped.gbr.tagging,no,-,5,-0.0282,0.0,-0.0282,-0.0282,-0.0282,0.0,0.0,-0.0282,-0.0282,,No,0.0661,0.0,0.0661,0.0661,5,-0.1577,0.1014,-0.426,No,83996.0
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Precomputed-Heritability,LDAK_bld.ldak.lite.alpha.hapmap.gbr.tagging,no,-,5,-0.0423,0.0,-0.0423,-0.0423,-0.0423,0.0,0.0,-0.0423,-0.0423,,No,0.1209,0.0,0.1209,0.1209,5,-0.2793,0.1947,-0.3496,No,42535.0
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Precomputed-Heritability,LDAK_ldak.thin.genotyped.gbr.tagging,no,-,5,0.0218,0.0,0.0218,0.0218,0.0218,0.0,0.0,0.0218,0.0218,,Yes,0.002,0.0,0.002,0.002,5,0.018,0.0257,11.0141,Yes,83996.0
gastro_oesophageal_reflux_gord_gastric_reflux,LDAK-Precomputed-Heritability,LDAK_ldak.thin.hapmap.gbr.tagging,no,-,5,0.0224,0.0,0.0224,0.0224,0.0224,0.0,0.0,0.0224,0.0224,,Yes,0.0049,0.0,0.0049,0.0049,5,0.0129,0.0319,4.6099,Yes,42535.0
gastro_oesophageal_reflux_gord_gastric_reflux,LDSC-Genotype-Heritability,LDSC_Genotype_Reference,yes,-,5,-0.0055,0.0,-0.0055,-0.0055,-0.0055,0.0,0.0,-0.0055,-0.0055,,No,0.005,0.0,0.005,0.005,5,-0.0153,0.0043,-1.1,No,28823.0
