,clump_p1,clump_r2,clump_kb,p_window_size,p_slide_size,p_LD_threshold,numberofpca,h2,numberofvariants,h2model,clumpprune,Method,Phenotype,relatedmatrix,data,Unnamed: 0.1,refset,weightset,alphamodelvalue,precomputedfile
52,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2485429999999999,174078.2,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,depression,,,,,,,
53,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2839819999999999,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,depression,,,,,,,
54,1.0,0.1,200.0,200.0,50.0,0.25,6.0,1e-06,28076.0,GCTA_genotype,yes,GCTA-Heritability,asthma,,,,,,,
55,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2010138,619652.0,GCTA_genotype,no,GCTA-Heritability,asthma,,,,,,,
56,1.0,0.1,200.0,200.0,50.0,0.25,6.0,1e-06,28076.0,GCTA_genotype_covariate,yes,GCTA-Heritability,asthma,,,,,,,
57,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.5463304,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,asthma,,,,,,,
58,1.0,0.1,200.0,200.0,50.0,0.25,6.0,1e-06,28076.0,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,asthma,,,,,,,
59,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.628824,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,asthma,,,,,,,
60,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1305025999999999,975.6,GCTA_genotype,yes,GCTA-Heritability,osteoarthritis,,,,,,,
61,1.0,0.1,200.0,200.0,50.0,0.25,6.0,1e-06,619652.0,GCTA_genotype,no,GCTA-Heritability,osteoarthritis,,,,,,,
62,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1779434,975.6,GCTA_genotype_covariate,yes,GCTA-Heritability,osteoarthritis,,,,,,,
63,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.544966,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,osteoarthritis,,,,,,,
64,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1859212,975.6,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,osteoarthritis,,,,,,,
65,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.5094226,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,osteoarthritis,,,,,,,
66,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.4010214,145373.4,GCTA_genotype,yes,GCTA-Heritability,high_cholesterol,,,,,,,
67,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3083732,619652.0,GCTA_genotype,no,GCTA-Heritability,high_cholesterol,,,,,,,
68,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.6184646,181747.6,GCTA_genotype_covariate,yes,GCTA-Heritability,high_cholesterol,,,,,,,
69,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0585887999999999,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,high_cholesterol,,,,,,,
70,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.5790398,181747.6,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,high_cholesterol,,,,,,,
71,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0524474,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,high_cholesterol,,,,,,,
